code,description,system,severity,possible_causes
P0001,Fuel Volume Regulator Control Circuit Open,Fuel System,Medium,"Faulty fuel pressure regulator, wiring issue"
P0030,HO2S Heater Control Circuit Bank 1 Sensor 1,Oxygen Sensor,Medium,"Faulty O2 sensor heater, wiring, blown fuse"
P0100,Mass or Volume Air Flow Circuit Malfunction,Air Flow,High,"Dirty/faulty MAF sensor, intake leak, wiring"
P0101,Mass or Volume Air Flow Circuit Range/Performance,Air Flow,High,"Dirty MAF sensor, intake leak, faulty ECM"
P0102,Mass or Volume Air Flow Circuit Low Input,Air Flow,High,"Dirty MAF sensor, intake leak, low voltage"
P0103,Mass or Volume Air Flow Circuit High Input,Air Flow,High,"Dirty MAF sensor, wiring short to voltage"
P0110,Intake Air Temperature Circuit Malfunction,Temperature Sensor,Medium,"Faulty IAT sensor, wiring, poor connection"
P0113,Intake Air Temperature Circuit High Input,Temperature Sensor,Medium,"Faulty IAT sensor, open circuit in wiring"
P0120,Throttle Position Sensor A Circuit Malfunction,Throttle,High,"Faulty TPS, wiring, poor connection to ECM"
P0121,Throttle Position Sensor A Circuit Range/Performance,Throttle,High,"Faulty TPS, misadjusted throttle, vacuum leak"
P0171,System Too Lean Bank 1,Fuel System,Medium,"Vacuum leak, dirty MAF, clogged fuel injectors"
P0172,System Too Rich Bank 1,Fuel System,Medium,"Faulty O2 sensor, leaking fuel injectors, high fuel pressure"
P0200,Injector Circuit Malfunction,Fuel Injector,High,"Faulty fuel injector, wiring, ECM issue"
P0300,Random/Multiple Cylinder Misfire Detected,Misfire,High,"Faulty spark plugs, ignition coils, low compression"
P0301,Cylinder 1 Misfire Detected,Misfire,High,"Faulty spark plug/coil cylinder 1, low compression"
P0302,Cylinder 2 Misfire Detected,Misfire,High,"Faulty spark plug/coil cylinder 2, low compression"
P0303,Cylinder 3 Misfire Detected,Misfire,High,"Faulty spark plug/coil cylinder 3, low compression"
P0304,Cylinder 4 Misfire Detected,Misfire,High,"Faulty spark plug/coil cylinder 4, low compression"
P0400,Exhaust Gas Recirculation Flow Malfunction,EGR System,Medium,"Faulty EGR valve, clogged EGR passages, vacuum leak"
P0401,Exhaust Gas Recirculation Flow Insufficient Detected,EGR System,Medium,"Clogged EGR passages, faulty EGR valve, vacuum leak"
P0420,Catalyst System Efficiency Below Threshold Bank 1,Catalytic Converter,Medium,"Faulty catalytic converter, O2 sensor, exhaust leak"
P0430,Catalyst System Efficiency Below Threshold Bank 2,Catalytic Converter,Medium,"Faulty catalytic converter bank 2, O2 sensor issue"
P0440,Evaporative Emission Control System Malfunction,EVAP System,Medium,"Loose/missing fuel cap, faulty purge valve, leak"
P0441,Evaporative Emission Control System Purge Flow Fault,EVAP System,Medium,"Faulty purge solenoid, blocked EVAP line, vacuum leak"
P0500,Vehicle Speed Sensor Malfunction,Speed Sensor,High,"Faulty VSS, wiring, poor connection, ABS issue"
P0505,Idle Control System Malfunction,Idle Control,Medium,"Faulty IAC valve, vacuum leak, throttle body dirty"
P0600,Serial Communication Link Malfunction,Communication,High,"Faulty ECM, wiring, poor ground connection"
P0700,Transmission Control System Malfunction,Transmission,High,"Faulty TCM, solenoid pack, wiring, low fluid"
P0715,Input/Turbine Speed Sensor Circuit Malfunction,Transmission,High,"Faulty input speed sensor, wiring, low fluid"
P0740,Torque Converter Clutch Circuit Electrical,Transmission,High,"Faulty TCC solenoid, wiring, low/dirty fluid"
P0800,Transfer Case Control System Malfunction,Transfer Case,High,"Faulty transfer case module, wiring, actuator"
P0850,Park Neutral Position Switch Circuit,Transmission,Medium,"Faulty switch, wiring, TCM issue"
P1000,OBD Systems Readiness Test Not Complete,OBD Readiness,Low,Drive cycle not completed after battery reset
P1100,Manifold Absolute Pressure Sensor Circuit Malfunction,MAP Sensor,High,"Faulty MAP sensor, vacuum leak, wiring"
P1200,Fuel Pump Secondary Circuit Malfunction,Fuel Pump,High,"Faulty fuel pump, wiring, relay issue"
P1300,Ignition Coil Primary/Secondary Circuit Malfunction,Ignition,High,"Faulty ignition coil, wiring, spark plug issue"
B0001,Driver Frontal Stage 1 Deployment Control,Airbag,Critical,"Faulty airbag module, clock spring, wiring"
B0002,Driver Frontal Stage 2 Deployment Control,Airbag,Critical,"Faulty airbag module, wiring, sensor issue"
B0010,Driver Side Airbag Deployment Control,Airbag,Critical,"Faulty side airbag, wiring, SRS module"
B0020,Passenger Frontal Stage 1 Deployment Control,Airbag,Critical,"Faulty passenger airbag, wiring, SRS module"
C0001,Right Front Wheel Speed Sensor Circuit,ABS/Brakes,High,"Faulty wheel speed sensor, wiring, tone ring"
C0010,Left Front Wheel Speed Sensor Circuit,ABS/Brakes,High,"Faulty wheel speed sensor, wiring, tone ring"
C0020,Right Rear Wheel Speed Sensor Circuit,ABS/Brakes,High,"Faulty wheel speed sensor, wiring, tone ring"
C0030,Left Rear Wheel Speed Sensor Circuit,ABS/Brakes,High,"Faulty wheel speed sensor, wiring, tone ring"
U0001,High Speed CAN Communication Bus,CAN Bus,High,"Wiring issue, faulty module, poor connection"
U0010,Lost Communication with ECM/PCM,CAN Bus,Critical,"Faulty ECM/PCM, wiring, CAN bus issue"
U0100,Lost Communication with ECM/PCM A,CAN Bus,Critical,"Faulty ECM, wiring, CAN bus termination"
U0101,Lost Communication with TCM,CAN Bus,High,"Faulty TCM, wiring, CAN bus issue"
